text,true_labels,predicted_labels,max_confidence,source_name,technique_id,technique_name
The Komplex C2 channel uses HTTP POST requests.,command-and-control,command-and-control|exfiltration,0.9966455510050894,Komplex,T1071.001,Web Protocols
Spica can use an obfuscated PowerShell command to create a scheduled task for persistence.,execution,execution|persistence|privilege-escalation,0.9965816613618839,Spica,T1059.001,PowerShell
EXOTIC LILY has relied on victims to open malicious links in e-mails for execution.,initial-access,execution,0.9965012171298581,EXOTIC LILY,T1566.002,Spearphishing Link
Empire can modify the registry run keys HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run and HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run for persistence.,persistence|privilege-escalation,defense-impairment|persistence|privilege-escalation,0.9964193395954667,Empire,T1547.001,Registry Run Keys / Startup Folder
Hi-Zor executes using regsvr32.exe called from the Registry Run Keys / Startup Folder persistence mechanism.,stealth,persistence|privilege-escalation|stealth,0.996355468112842,Hi-Zor,T1218.010,Regsvr32
Pysa has extracted credentials from the password database before encrypting the files.,credential-access,collection|credential-access|stealth,0.9963517580170753,Pysa,T1552.001,Credentials In Files
RGDoor establishes persistence on webservers as an IIS module.,persistence,persistence|privilege-escalation,0.9962081624912216,RGDoor,T1505.004,IIS Components
REvil can encrypt files on victim systems and demands a ransom to decrypt the files.,impact,impact|stealth,0.9960233982331009,REvil,T1486,Data Encrypted for Impact
LazyWiper can enumerate the hostname of the system to determine if it is a domain controller and exclude it from being wiped if so.,stealth,discovery,0.995884349489319,LazyWiper,T1679,Selective Exclusion
ShimRat can hijack the cryptbase.dll within migwiz.exe to escalate privileges and bypass UAC controls.,execution|stealth,privilege-escalation|stealth,0.9958479793855822,ShimRat,T1574,Hijack Execution Flow
GrimAgent can sleep for 195 - 205 seconds after payload execution and before deleting its task.,discovery|stealth,stealth,0.9958456645413891,GrimAgent,T1497.003,Time Based Checks
LAMEHUG can exfiltrate collected system information and documents to C2.,exfiltration,collection|exfiltration,0.9958000336993141,LAMEHUG,T1041,Exfiltration Over C2 Channel
"Dridex can perform browser attacks via web injects to steal information such as credentials, certificates, and cookies.",collection,credential-access,0.995645326285555,Dridex,T1185,Browser Session Hijacking
Qilin has the ability to list network drives.,discovery,discovery|lateral-movement,0.9953706168809352,Qilin,T1135,Network Share Discovery
FIN13 has used the PowerShell utility `Invoke-SMBExec` to execute the pass the hash method for lateral movement within an compromised environment.,lateral-movement,execution|lateral-movement,0.9953315095354839,FIN13,T1550.002,Pass the Hash
OLDBAIT collects credentials from several email clients.,credential-access,collection|credential-access,0.9951986298361434,OLDBAIT,T1555,Credentials from Password Stores
Lokibot has modified the Registry as part of its UAC bypass process.,defense-impairment|persistence,defense-impairment|persistence|privilege-escalation,0.9951422775290721,Lokibot,T1112,Modify Registry
Kazuar can overwrite files with random data before deleting them.,impact,impact|stealth,0.9951229040429257,Kazuar,T1485,Data Destruction
Troll Stealer can enumerate and collect items from local drives and folders.,discovery,collection|discovery,0.9951057983707342,Troll Stealer,T1083,File and Directory Discovery
njRAT has executed PowerShell commands via auto-run registry key persistence.,execution,execution|persistence|privilege-escalation,0.9948060406335199,njRAT,T1059.001,PowerShell
"During C0015, the threat actors exfiltrated files and sensitive data to the MEGA cloud storage site using the Rclone command `rclone.exe copy --max-age 2y ""\\SERVER\Shares"" Mega:DATA -q --ignore-existing --auto-confirm --multi-thread-streams 7 --transfers 7 --bwlimit 10M`.",exfiltration,collection|exfiltration,0.9947572172971187,C0015,T1567.002,Exfiltration to Cloud Storage
"For Operation Dream Job, Lazarus Group compromised domains in Italy and other countries for their C2 infrastructure.",resource-development,command-and-control|resource-development,0.994645859551228,Operation Dream Job,T1584.001,Domains
Latrodectus can use the Windows Component Object Model (COM) to set scheduled tasks.,execution,execution|persistence|privilege-escalation,0.9944683256987477,Latrodectus,T1559.001,Component Object Model
REvil has the capability to stop services and kill processes.,impact,defense-impairment|impact,0.9944475478842777,REvil,T1489,Service Stop
xCaon has added persistence via the Registry key HKEY_CURRENT_USER\Software\Microsoft\Windows NT\CurrentVersion\Windows\load which causes the malware to run each time any user logs in.,persistence|privilege-escalation,defense-impairment|persistence|privilege-escalation,0.9943109857311414,xCaon,T1547,Boot or Logon Autostart Execution
Emotet has enumerated all users connected to network shares.,discovery,discovery|lateral-movement,0.9942558747978311,Emotet,T1033,System Owner/User Discovery
Embargo has modified the Windows Registry to start a custom service named irnagentd in Safe Mode.,persistence|privilege-escalation,defense-impairment|persistence,0.9941886966143527,Embargo,T1547.001,Registry Run Keys / Startup Folder
APT38 has unhooked DLLs to disable endpoint detection and response (EDR) or anti-virus (AV) tools.,defense-impairment,defense-impairment|stealth,0.9941511371437579,APT38,T1685,Disable or Modify Tools
"LockBit 3.0 can terminate targeted processes and services related to security, backup, database management, and other applications that could stop or interfere with encryption.",impact,defense-impairment|impact,0.9936041122428345,LockBit 3.0,T1489,Service Stop
SharpDisco has the ability to transfer data between SMB shares.,command-and-control,lateral-movement,0.9935408817736406,SharpDisco,T1071.002,File Transfer Protocols
SideCopy has used compromised domains to host its malicious payloads.,resource-development,resource-development|stealth,0.9934557698049746,SideCopy,T1608.001,Upload Malware
FruitFly will delete files on the system.,stealth,impact|stealth,0.9934296465097433,FruitFly,T1070.004,File Deletion
P8RAT can check for specific processes associated with virtual environments.,discovery,discovery|stealth,0.9933937254040027,P8RAT,T1057,Process Discovery
MirageFox is likely loaded via DLL hijacking into a legitimate McAfee binary.,execution|stealth,stealth,0.9931350870737081,MirageFox,T1574.001,DLL
APT29 has conducted widespread scanning of target environments to identify vulnerabilities for exploit.,reconnaissance,discovery|reconnaissance,0.9930531364668458,APT29,T1595.002,Vulnerability Scanning
APT29 used Kerberos ticket attacks for lateral movement.,lateral-movement,credential-access|lateral-movement,0.9930466390627235,APT29,T1550.003,Pass the Ticket
FIN13 has utilized `WMI` to execute commands and move laterally on compromised Windows machines.,execution,execution|lateral-movement,0.9929642540916601,FIN13,T1047,Windows Management Instrumentation
LAPSUS$ has created global admin accounts in the targeted organization's cloud instances to gain persistence.,persistence,persistence|privilege-escalation,0.99285704902732,LAPSUS$,T1136.003,Cloud Account
Variants of Emissary have used rundll32.exe in Registry values added to establish persistence.,stealth,persistence|privilege-escalation|stealth,0.992779633138724,Emissary,T1218.011,Rundll32
Higaisa used HTTP and HTTPS to send data back to its C2 server.,command-and-control,command-and-control|exfiltration,0.9927590615835625,Higaisa,T1071.001,Web Protocols
The net view \\remotesystem and net share commands in Net can be used to find shared drives and directories on remote and local systems respectively.,discovery,discovery|lateral-movement,0.9927139085845801,Net,T1135,Network Share Discovery
APT38 has used a custom secure delete function to make deleted files unrecoverable.,impact,stealth,0.9926259360383852,APT38,T1485,Data Destruction
APT33 has created a scheduled task to execute a .vbe file multiple times a day.,execution|persistence|privilege-escalation,execution|persistence|privilege-escalation|stealth,0.9925490841374917,APT33,T1053.005,Scheduled Task
CoinTicker executes a bash script to establish a reverse shell.,execution,execution|persistence,0.99248644562134,CoinTicker,T1059.004,Unix Shell
SideCopy has utilized `mshta.exe` to execute a malicious hta file.,stealth,execution|stealth,0.9924526280068169,SideCopy,T1218.005,Mshta
REvil can modify the Registry to save encryption parameters and system information.,defense-impairment|persistence,defense-impairment|discovery|persistence,0.9924367032861627,REvil,T1112,Modify Registry
KARAE can collect system information.,discovery,collection|discovery,0.9924339693072434,KARAE,T1082,System Information Discovery
GreyEnergy modifies conditions in the Registry and adds keys.,defense-impairment|persistence,defense-impairment|persistence|privilege-escalation,0.9923502368564571,GreyEnergy,T1112,Modify Registry
SDBbot has sent collected data from a compromised host to its C2 servers.,exfiltration,collection|exfiltration,0.9923308213762239,SDBbot,T1041,Exfiltration Over C2 Channel
FIN6 has used kill.bat script to disable security tools.,execution,defense-impairment,0.9923247001572834,FIN6,T1059.003,Windows Command Shell
FIN13 has leveraged default credentials for authenticating myWebMethods (WMS) and QLogic web management interface to gain initial access.,initial-access|persistence|privilege-escalation|stealth,credential-access|initial-access|persistence|privilege-escalation|stealth,0.9921651057029757,FIN13,T1078.001,Default Accounts
"During Operation Spalax, the threat actors sent phishing emails to victims that contained a malicious link.",initial-access,initial-access|resource-development,0.9921226763738686,Operation Spalax,T1566.002,Spearphishing Link
Stuxnet used MS10-073 and an undisclosed Task Scheduler vulnerability to escalate privileges on local Windows machines.,privilege-escalation,persistence|privilege-escalation,0.9918929356018532,Stuxnet,T1068,Exploitation for Privilege Escalation
OopsIE creates and uses a VBScript as part of its persistent execution.,execution,execution|persistence,0.9917334582074129,OopsIE,T1059.005,Visual Basic
Stuxnet enumerates removable drives for infection.,discovery,discovery|lateral-movement,0.9916800207860923,Stuxnet,T1120,Peripheral Device Discovery
"Emotet has obfuscated macros within malicious documents to hide the URLs hosting the malware, CMD.exe arguments, and PowerShell scripts.",stealth,execution|stealth,0.9914853824034414,Emotet,T1027.010,Command Obfuscation
UBoatRAT takes advantage of the /SetNotifyCmdLine option in BITSAdmin to ensure it stays running on a system to maintain persistence.,execution|persistence|stealth,persistence|privilege-escalation,0.9913691122305449,UBoatRAT,T1197,BITS Jobs
Pysa has the capability to stop antivirus services and disable Windows Defender.,defense-impairment,defense-impairment|impact,0.9913373598080498,Pysa,T1685,Disable or Modify Tools
DOWNIISSA can create an instance of msiexec.exe and inject LODEINFO shellcode into the memory of the process.,stealth,privilege-escalation|stealth,0.9910908784618705,DOWNIISSA,T1218.007,Msiexec
DarkTortilla can use `cmd.exe` to add registry keys for persistence.,execution,defense-impairment|persistence|privilege-escalation,0.9910572742774365,DarkTortilla,T1059.003,Windows Command Shell
"njRAT can create, delete, or modify a specified Registry key or value.",defense-impairment|persistence,defense-impairment|persistence|stealth,0.9909358409379644,njRAT,T1112,Modify Registry
AADInternals can modify registry keys as part of setting a new pass-through authentication agent.,defense-impairment|persistence,credential-access|defense-impairment|persistence,0.9908629982670502,AADInternals,T1112,Modify Registry
StrelaStealer payloads have used control flow obfuscation techniques such as excessively long code blocks of mathematical instructions to defeat sandboxing and related analysis methods.,discovery|stealth,stealth,0.9907978406906545,StrelaStealer,T1497,Virtualization/Sandbox Evasion
Dridex has used the OutputDebugStringW function to avoid malware analysis as part of its anti-debugging technique.,execution,discovery|stealth,0.9906355873063103,Dridex,T1106,Native API
SUNSPOT modified its security token to grants itself debugging privileges by adding SeDebugPrivilege .,privilege-escalation|stealth,persistence|privilege-escalation|stealth,0.9906186536364038,SUNSPOT,T1134,Access Token Manipulation
"GRIFFON has used a persistence module that stores the implant inside the Registry, which executes at logon.",persistence|privilege-escalation,defense-impairment|persistence|privilege-escalation|stealth,0.990588654826998,GRIFFON,T1547.001,Registry Run Keys / Startup Folder
Empire can use New-GPOImmediateTask to modify a GPO that will install and execute a malicious Scheduled Task/Job.,defense-impairment|privilege-escalation,execution|persistence|privilege-escalation,0.9905657716702834,Empire,T1484.001,Group Policy Modification
Koadic can use mshta to serve additional payloads and to help schedule tasks for persistence.,stealth,execution|persistence|privilege-escalation,0.9904358887901515,Koadic,T1218.005,Mshta
Cuckoo Stealer can capture files from a targeted user's keychain directory.,credential-access,collection|credential-access,0.990231773379517,Cuckoo Stealer,T1555.001,Keychain
FIN13 has remotely accessed compromised environments via secure shell (SSH) for lateral movement.,lateral-movement,initial-access|lateral-movement|persistence,0.9900196104375775,FIN13,T1021.004,SSH
PACEMAKER has the ability to extract credentials from OS memory.,credential-access,collection|credential-access,0.9897897167990666,PACEMAKER,T1003.007,Proc Filesystem
MgBot includes modules for stealing stored credentials from Outlook and Foxmail email client software.,credential-access,collection|credential-access,0.9895908351761411,MgBot,T1555,Credentials from Password Stores
HermeticWiper has the ability to set the `HKLM:\SYSTEM\\CurrentControlSet\\Control\\CrashControl\CrashDumpEnabled` Registry key to `0` in order to disable crash dumps.,defense-impairment,defense-impairment|persistence,0.989511474537962,HermeticWiper,T1685,Disable or Modify Tools
Blue Mockingbird has used JuicyPotato to abuse the SeImpersonate token privilege to escalate from web application pool accounts to NT Authority\SYSTEM.,privilege-escalation|stealth,persistence|privilege-escalation|stealth,0.9894286069658665,Blue Mockingbird,T1134,Access Token Manipulation
APT33 has lured users to click links to malicious HTML applications delivered via spearphishing emails.,execution,execution|initial-access,0.9893610002469506,APT33,T1204.001,Malicious Link
"TrickBot can obtain passwords stored in files from several applications such as Outlook, Filezilla, OpenSSH, OpenVPN and WinSCP. Additionally, it searches for the "".vnc.lnk"" affix to steal VNC credentials.",credential-access,collection|credential-access,0.9893208541562664,TrickBot,T1552.001,Credentials In Files
LockBit 3.0 can attempt a CMSTP UAC bypass if it does not have administrative privileges.,stealth,privilege-escalation,0.9888846990682204,LockBit 3.0,T1218.003,CMSTP
MultiLayer Wiper uses a batch script launched via a scheduled task to delete Windows Event Logs.,execution,defense-impairment|execution|persistence|privilege-escalation,0.9887790408181232,MultiLayer Wiper,T1059.003,Windows Command Shell
LockBit 3.0 can delete volume shadow copies.,impact,impact|stealth,0.9886901057547501,LockBit 3.0,T1490,Inhibit System Recovery
TONESHELL has used valid legitimate digital signatures and certificates to evade detection.,defense-impairment,defense-impairment|stealth,0.9885715306999553,TONESHELL,T1553.002,Code Signing
"During Operation Dream Job, Lazarus Group exfiltrated data from a compromised host to actor-controlled C2 servers.",exfiltration,collection|exfiltration,0.9884867887377732,Operation Dream Job,T1041,Exfiltration Over C2 Channel
BlackByte Ransomware uses mapped shared folders to transfer ransomware payloads via SMB.,lateral-movement,impact|lateral-movement,0.9883880182945152,BlackByte Ransomware,T1021.002,SMB/Windows Admin Shares
Empire contains an implementation of Mimikatz to gather credentials from memory.,credential-access,collection|credential-access,0.9883555348829798,Empire,T1003.001,LSASS Memory
WastedLocker can modify registry values within the Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap registry key.,defense-impairment|persistence,defense-impairment|discovery|persistence,0.98833073593991,WastedLocker,T1112,Modify Registry
Indrik Spider has created local system accounts and has added the accounts to privileged groups.,persistence,persistence|privilege-escalation,0.9881584219569761,Indrik Spider,T1136.001,Local Account
DarkTortilla can download a keylogging module.,collection|credential-access,collection|command-and-control|credential-access,0.9881553938074382,DarkTortilla,T1056.001,Keylogging
SideCopy has executed malware by calling the API function `CreateProcessW`.,execution,execution|stealth,0.9881323597345734,SideCopy,T1106,Native API
ShimRatReporter sent generated reports to the C2 via HTTP POST requests.,exfiltration,command-and-control|exfiltration,0.9880191998557124,ShimRatReporter,T1041,Exfiltration Over C2 Channel
LAMEHUG can save collected data and files of interest in `C:\ProgramData\info\` to consolidate for exfiltration.,collection,collection|exfiltration,0.9875073753215892,LAMEHUG,T1074.001,Local Data Staging
KGH_SPY can collect credentials from WINSCP.,credential-access,collection|credential-access,0.9873938503444734,KGH_SPY,T1555,Credentials from Password Stores
LAMEHUG can use HTTP POST requests to exfiltrate data from compromised hosts to C2.,command-and-control,command-and-control|exfiltration,0.9873897988084781,LAMEHUG,T1071.001,Web Protocols
LAPSUS$ has used compromised credentials to access cloud assets within a target organization.,initial-access|persistence|privilege-escalation|stealth,initial-access|lateral-movement|persistence|privilege-escalation|reconnaissance|stealth,0.9872519033418086,LAPSUS$,T1078.004,Cloud Accounts
SMOKEDHAM has modified the Registry to hide created user accounts from the Windows logon screen.,stealth,defense-impairment|persistence|stealth,0.9870388700960134,SMOKEDHAM,T1564.002,Hidden Users
"During Operation Dream Job, Lazarus Group used tools that conducted a variety of system checks to detect sandboxes or VMware services.",discovery|stealth,discovery,0.9864805183838036,Operation Dream Job,T1497.001,System Checks
Crutch can exfiltrate files from compromised systems.,collection,collection|exfiltration,0.986331609998768,Crutch,T1005,Data from Local System
BlackByte Ransomware modifies the victim Registry to prevent system recovery.,defense-impairment|persistence,defense-impairment|impact|persistence,0.9861711352109124,BlackByte Ransomware,T1112,Modify Registry
"To establish persistence, Truvasys adds a Registry Run key with a value ""TaskMgr"" in an attempt to masquerade as the legitimate Windows Task Manager.",stealth,persistence|privilege-escalation|stealth,0.9860346413321339,Truvasys,T1036.004,Masquerade Task or Service
"KGH_SPY can save collected system information to a file named ""info"" before exfiltration.",collection,collection|discovery|exfiltration,0.9857365484154262,KGH_SPY,T1074.001,Local Data Staging
KGH_SPY can send a file containing victim system information to C2.,collection,discovery|exfiltration,0.9856879455362927,KGH_SPY,T1005,Data from Local System
NETWIRE can use launch agents for persistence.,persistence|privilege-escalation,execution|persistence|privilege-escalation,0.9856855495979485,NETWIRE,T1543.001,Launch Agent
PlugX has deleted registry keys that store data and maintained persistence.,stealth,defense-impairment|persistence|stealth,0.9854732991316119,PlugX,T1070.009,Clear Persistence
Daggerfly created code signing certificates to sign malicious macOS files.,resource-development,defense-impairment|resource-development,0.9852277782517553,Daggerfly,T1587.002,Code Signing Certificates
Latrodectus has Base64-encoded the message body of a HTTP request sent to C2.,command-and-control,command-and-control|stealth,0.9851959022606234,Latrodectus,T1132.001,Standard Encoding
UPPERCUT has the capability to collect the current logged on user’s username from a machine.,discovery,collection|discovery,0.9851855761256458,UPPERCUT,T1033,System Owner/User Discovery
The NETWIRE client has been signed by fake and invalid digital certificates.,stealth,defense-impairment,0.9850126900204887,NETWIRE,T1036.001,Invalid Code Signature
LazyWiper has used PowerShell to enable data destruction on targeted systems.,execution,execution|impact,0.9846634183582174,LazyWiper,T1059.001,PowerShell
Grandoreiro can write or modify browser shortcuts to enable launching of malicious browser extensions.,persistence|privilege-escalation,defense-impairment|persistence,0.9846319855200881,Grandoreiro,T1547.009,Shortcut Modification
DOWNIISSA can use the `URLDownloadToFileA()` API to download from remote resources.,execution,command-and-control|execution,0.9846285272502027,DOWNIISSA,T1106,Native API
AADInternals can inject a malicious DLL (`PTASpy`) into the `AzureADConnectAuthenticationAgentService` to backdoor Azure AD Pass-Through Authentication.,credential-access|defense-impairment|persistence,persistence|privilege-escalation|stealth,0.9845635989717121,AADInternals,T1556.007,Hybrid Identity
schtasks is used to schedule tasks on a Windows system to run at a specific date and time.,execution|persistence|privilege-escalation,discovery|execution|persistence|privilege-escalation,0.9842556774897415,schtasks,T1053.005,Scheduled Task
SMOKEDHAM has been delivered via malicious links in phishing emails.,reconnaissance,initial-access,0.9840786840740611,SMOKEDHAM,T1598.003,Spearphishing Link
TrickBot has used Nt* Native API functions to inject code into legitimate processes such as wermgr.exe .,privilege-escalation|stealth,execution|privilege-escalation|stealth,0.9840525838945247,TrickBot,T1055,Process Injection
Daggerfly created a local account on victim machines to maintain access.,persistence,initial-access|persistence|privilege-escalation,0.9839658632976512,Daggerfly,T1136.001,Local Account
Pupy can compress data with Zip before sending it over C2.,collection,collection|command-and-control,0.9839088382830625,Pupy,T1560.001,Archive via Utility
NETWIRE can capture session logon details from a compromised host.,discovery,collection|credential-access,0.9836952642051208,NETWIRE,T1049,System Network Connections Discovery
"Embargo has searched for folders, subfolders and other networked or mounted drives for follow on encryption actions. Embargo has also iterated device volumes using `FindFirstVolumeW()` and `FindNextVolumeW()` functions and then calls the `GetVolumePathNamesForVolumeNameW()` function to retrieve a list of drive letters and mounted folder paths for each specified volume.",discovery,discovery|impact,0.9836727293393447,Embargo,T1083,File and Directory Discovery
Gazer can establish persistence by creating a .lnk file in the Start menu or by modifying existing .lnk files to execute the malware through cmd.exe.,persistence|privilege-escalation,execution|persistence|privilege-escalation,0.9835707868455975,Gazer,T1547.009,Shortcut Modification
DustySky can compress files via RAR while staging data to be exfiltrated.,collection,collection|exfiltration,0.9834340782918888,DustySky,T1560.001,Archive via Utility
TONESHELL has injected its malicious payload into a running process through Windows utility Microsoft Application Virtualization Injector `MAVInject.exe`.,stealth,privilege-escalation|stealth,0.9832461525187608,TONESHELL,T1218.013,Mavinject
WastedLocker can delete shadow volumes.,impact,impact|stealth,0.9831470370690479,WastedLocker,T1490,Inhibit System Recovery
MirrorFace has deleted Windows event logs.,defense-impairment,defense-impairment|stealth,0.9829712139056344,MirrorFace,T1685.005,Clear Windows Event Logs
